GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Sexual assault, level 1 [1330]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total sexual violations against children [130],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Assault, level 3, aggravated [1410]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Assault, level 2, weapon or bodily harm [1420]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Assault, level 1 [1430]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total robbery [160],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total breaking and entering [210],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total theft of motor vehicle [220],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total impaired driving [910],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,Total Drug violations [401],0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Possession, cocaine [4120]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Total cocaine, trafficking, production or distribution [430]",0,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",0,0
"Berwick, Nova Scotia, municipal [12004]",2010,Homicide [110],,
"Berwick, Nova Scotia, municipal [12004]",2010,Attempted murder [1210],,
"Berwick, Nova Scotia, municipal [12004]",2010,"Sexual assault, level 3, aggravated [1310]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Sexual assault, level 1 [1330]",,
"Berwick, Nova Scotia, municipal [12004]",2010,Total sexual violations against children [130],,
"Berwick, Nova Scotia, municipal [12004]",2010,"Assault, level 3, aggravated [1410]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Assault, level 2, weapon or bodily harm [1420]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Assault, level 1 [1430]",,
"Berwick, Nova Scotia, municipal [12004]",2010,Total robbery [160],,
"Berwick, Nova Scotia, municipal [12004]",2010,Total breaking and entering [210],,
"Berwick, Nova Scotia, municipal [12004]",2010,Total theft of motor vehicle [220],,
"Berwick, Nova Scotia, municipal [12004]",2010,Total impaired driving [910],,
"Berwick, Nova Scotia, municipal [12004]",2010,Total Drug violations [401],,
"Berwick, Nova Scotia, municipal [12004]",2010,"Possession, cocaine [4120]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Total cocaine, trafficking, production or distribution [430]",,
"Berwick, Nova Scotia, municipal [12004]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
