GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total sexual violations against children [130],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Assault, level 3, aggravated [1410]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Assault, level 1 [1430]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total robbery [160],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total breaking and entering [210],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total theft of motor vehicle [220],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total impaired driving [910],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,Total Drug violations [401],,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Possession, cocaine [4120]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Homicide [110],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Attempted murder [1210],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Sexual assault, level 1 [1330]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total sexual violations against children [130],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Assault, level 3, aggravated [1410]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Assault, level 1 [1430]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total robbery [160],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total breaking and entering [210],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total theft of motor vehicle [220],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total impaired driving [910],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,Total Drug violations [401],,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Possession, cocaine [4120]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Homicide [110],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Attempted murder [1210],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Sexual assault, level 1 [1330]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total sexual violations against children [130],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Assault, level 3, aggravated [1410]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Assault, level 1 [1430]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total robbery [160],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total breaking and entering [210],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total theft of motor vehicle [220],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total impaired driving [910],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,Total Drug violations [401],,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Possession, cocaine [4120]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Homicide [110],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Attempted murder [1210],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Sexual assault, level 1 [1330]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total sexual violations against children [130],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Assault, level 3, aggravated [1410]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Assault, level 1 [1430]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total robbery [160],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total breaking and entering [210],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total theft of motor vehicle [220],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total impaired driving [910],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,Total Drug violations [401],,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Possession, cocaine [4120]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Homicide [110],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Attempted murder [1210],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Sexual assault, level 1 [1330]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total sexual violations against children [130],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Assault, level 3, aggravated [1410]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Assault, level 1 [1430]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total robbery [160],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total breaking and entering [210],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total theft of motor vehicle [220],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total impaired driving [910],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,Total Drug violations [401],,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Possession, cocaine [4120]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Homicide [110],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Attempted murder [1210],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Sexual assault, level 1 [1330]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total sexual violations against children [130],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Assault, level 3, aggravated [1410]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Assault, level 1 [1430]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total robbery [160],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total breaking and entering [210],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total theft of motor vehicle [220],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total impaired driving [910],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,Total Drug violations [401],,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Possession, cocaine [4120]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Elmsdale Hants Co., Nova Scotia, Royal Canadian Mounted Police, rural [12844]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Homicide [110],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Attempted murder [1210],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Sexual assault, level 1 [1330]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total sexual violations against children [130],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Assault, level 3, aggravated [1410]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Assault, level 1 [1430]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total robbery [160],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total breaking and entering [210],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total theft of motor vehicle [220],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total impaired driving [910],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,Total Drug violations [401],,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Possession, cocaine [4120]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Musquodoboit, Nova Scotia, Royal Canadian Mounted Police, rural [12845]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Homicide [110],0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Attempted murder [1210],0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Sexual assault, level 3, aggravated [1310]",0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Sexual assault, level 1 [1330]",6,538.12
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total sexual violations against children [130],0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Assault, level 3, aggravated [1410]",3,269.06
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Assault, level 2, weapon or bodily harm [1420]",28,2511.21
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Assault, level 1 [1430]",40,3587.44
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total robbery [160],5,448.43
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total breaking and entering [210],29,2600.9
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total theft of motor vehicle [220],3,269.06
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total impaired driving [910],14,1255.61
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,Total Drug violations [401],22,1973.09
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Possession, cocaine [4120]",0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",4,358.74
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",6,538.12
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Total cocaine, trafficking, production or distribution [430]",0,0
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural [12849]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",11,986.55
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Homicide [110],0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Attempted murder [1210],0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Sexual assault, level 3, aggravated [1310]",0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Sexual assault, level 1 [1330]",2,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total sexual violations against children [130],0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Assault, level 3, aggravated [1410]",9,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Assault, level 2, weapon or bodily harm [1420]",4,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Assault, level 1 [1430]",22,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total robbery [160],1,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total breaking and entering [210],6,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total theft of motor vehicle [220],8,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total impaired driving [910],8,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,Total Drug violations [401],10,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Possession, cocaine [4120]",0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",1,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Total cocaine, trafficking, production or distribution [430]",0,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural [12850]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",1,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Homicide [110],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Attempted murder [1210],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Sexual assault, level 3, aggravated [1310]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Sexual assault, level 1 [1330]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total sexual violations against children [130],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Assault, level 3, aggravated [1410]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Assault, level 2, weapon or bodily harm [1420]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Assault, level 1 [1430]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total robbery [160],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total breaking and entering [210],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total theft of motor vehicle [220],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total impaired driving [910],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,Total Drug violations [401],0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Possession, cocaine [4120]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Total cocaine, trafficking, production or distribution [430]",0,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police [12959]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Homicide [110],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Attempted murder [1210],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Sexual assault, level 3, aggravated [1310]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Sexual assault, level 1 [1330]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total sexual violations against children [130],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Assault, level 3, aggravated [1410]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Assault, level 2, weapon or bodily harm [1420]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Assault, level 1 [1430]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total robbery [160],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total breaking and entering [210],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total theft of motor vehicle [220],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total impaired driving [910],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,Total Drug violations [401],0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Possession, cocaine [4120]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Total cocaine, trafficking, production or distribution [430]",0,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police [12970]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",0,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Homicide [110],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Attempted murder [1210],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Sexual assault, level 3, aggravated [1310]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Sexual assault, level 1 [1330]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total sexual violations against children [130],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Assault, level 3, aggravated [1410]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Assault, level 2, weapon or bodily harm [1420]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Assault, level 1 [1430]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total robbery [160],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total breaking and entering [210],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total theft of motor vehicle [220],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total impaired driving [910],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,Total Drug violations [401],,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Possession, cocaine [4120]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Total cocaine, trafficking, production or distribution [430]",,
"Port of Halifax, Nova Scotia, Ports Canada Police [12980]",2011,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Homicide [110],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Attempted murder [1210],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Sexual assault, level 3, aggravated [1310]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Sexual assault, level 2, weapon or bodily harm [1320]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Sexual assault, level 1 [1330]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Total sexual violations against children [130],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Assault, level 3, aggravated [1410]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Assault, level 2, weapon or bodily harm [1420]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,"Assault, level 1 [1430]",0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Total robbery [160],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Total breaking and entering [210],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Total theft of motor vehicle [220],0,
"Canadian National Railway Police, Nova Scotia [12990]",2011,Total impaired driving [910],2,
